question,option,is_correct,source
What kind of viscosity is found in long-chain hydrocarbons?,low viscosity,False,llama_distractor1
What kind of viscosity is found in long-chain hydrocarbons?,medium viscosity,False,llama_distractor2
What kind of viscosity is found in long-chain hydrocarbons?,highly diluted,False,llama_distractor3
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,regular array,True,correct_answer
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,bonding,False,llama_distractor1
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,crystal structure,False,llama_distractor2
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,arrangement of ions,False,llama_distractor3
About how tall can mid-ocean ridges be?,about 2 km,True,correct_answer
About how tall can mid-ocean ridges be?,about 5 km,False,llama_distractor1
About how tall can mid-ocean ridges be?,about 10 km,False,llama_distractor2
About how tall can mid-ocean ridges be?,about 15 km,False,llama_distractor3
What are by far the most common type of invertebrate?,insects,True,correct_answer
What are by far the most common type of invertebrate?,fish,False,llama_distractor1
What are by far the most common type of invertebrate?,reptiles,False,llama_distractor2
What are by far the most common type of invertebrate?,amphibians,False,llama_distractor3
What do waves deposit to form sandbars and barrier islands?,sediments,True,correct_answer
What do waves deposit to form sandbars and barrier islands?,rocks,False,llama_distractor1
What do waves deposit to form sandbars and barrier islands?,water,False,llama_distractor2
What do waves deposit to form sandbars and barrier islands?,salt,False,llama_distractor3
"Penis, testes, and epididymis are organs in what system?",male reproductive system,True,correct_answer
"Penis, testes, and epididymis are organs in what system?",digestive system,False,llama_distractor1
"Penis, testes, and epididymis are organs in what system?",circulatory system,False,llama_distractor2
"Penis, testes, and epididymis are organs in what system?",respiratory system,False,llama_distractor3
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",photosynthesis,True,correct_answer
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",breathing,False,llama_distractor1
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",eating,False,llama_distractor2
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",hunting,False,llama_distractor3
How does a neon light produce visible light?,electroluminescence,True,correct_answer
How does a neon light produce visible light?,nuclear reaction,False,llama_distractor1
How does a neon light produce visible light?,chemiluminescence,False,llama_distractor2
How does a neon light produce visible light?,radioluminescence,False,llama_distractor3
The bird ancestor that lived in trees developed what feature commonly associated with birds?,wings,True,correct_answer
The bird ancestor that lived in trees developed what feature commonly associated with birds?,wings,False,llama_distractor1
The bird ancestor that lived in trees developed what feature commonly associated with birds?,nests,False,llama_distractor2
The bird ancestor that lived in trees developed what feature commonly associated with birds?,tails are not the correct answers,False,llama_distractor3
What do most living things use to make atp from glucose?,oxygen,True,correct_answer
What do most living things use to make atp from glucose?,when oxygen is present,False,llama_distractor1
What do most living things use to make atp from glucose?,the electron transport chain,False,llama_distractor2
What do most living things use to make atp from glucose?,nitrogen gas,False,llama_distractor3
What are the two most common silicates?,feldspar and quartz,True,correct_answer
What are the two most common silicates?,mica,False,llama_distractor1
What are the two most common silicates?,beryl,False,llama_distractor2
What are the two most common silicates?,pyramids,False,llama_distractor3
What term means the amount of water vapor in the air?,humidity,True,correct_answer
What term means the amount of water vapor in the air?,dampness,False,llama_distractor1
What term means the amount of water vapor in the air?,moisture,False,llama_distractor2
What term means the amount of water vapor in the air?,dew point,False,llama_distractor3
Paracrine signals move by what method through the extracellular matrix?,diffusion,True,correct_answer
Paracrine signals move by what method through the extracellular matrix?,active transport,False,llama_distractor1
Paracrine signals move by what method through the extracellular matrix?,filtration,False,llama_distractor2
Paracrine signals move by what method through the extracellular matrix?,electrical conduction,False,llama_distractor3
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",plant,True,correct_answer
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",animal,False,llama_distractor1
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",bacteria,False,llama_distractor2
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",fungi,False,llama_distractor3
What happens when mammals raise their hair with tiny muscles in the skin?,goosebumps,True,correct_answer
What happens when mammals raise their hair with tiny muscles in the skin?,chills,False,llama_distractor1
What happens when mammals raise their hair with tiny muscles in the skin?,shivering,False,llama_distractor2
What happens when mammals raise their hair with tiny muscles in the skin?,hiccups,False,llama_distractor3
What are people with osteoporosis at increased risk of?,bone fractures,True,correct_answer
What are people with osteoporosis at increased risk of?,plant fractures,False,llama_distractor1
What are people with osteoporosis at increased risk of?, increased risk of soil growth,False,llama_distractor2
What are people with osteoporosis at increased risk of?,fungal infections,False,llama_distractor3
Where is energy stored in a chemical substance?,between atoms,True,correct_answer
Where is energy stored in a chemical substance?,inside the atoms,False,llama_distractor1
Where is energy stored in a chemical substance?,in the space around the atoms,False,llama_distractor2
Where is energy stored in a chemical substance?,within the nucleus,False,llama_distractor3
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",immune system,True,correct_answer
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",heart,False,llama_distractor1
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",brain,False,llama_distractor2
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",liver,False,llama_distractor3
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",nitrogen,True,correct_answer
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",carbohydrates,False,llama_distractor1
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",proteins,False,llama_distractor2
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",sulfuric acid,False,llama_distractor3
Most insects reproduce quickly and through what type of reproduction?,sexual reproduction,True,correct_answer
Most insects reproduce quickly and through what type of reproduction?,asexual reproduction,False,llama_distractor1
Most insects reproduce quickly and through what type of reproduction?, parthenogenesis,False,llama_distractor2
Most insects reproduce quickly and through what type of reproduction?, budding,False,llama_distractor3
Digestion of proteins begins with acids in what organ?,stomach,True,correct_answer
Digestion of proteins begins with acids in what organ?,liver,False,llama_distractor1
Digestion of proteins begins with acids in what organ?,pancreas,False,llama_distractor2
Digestion of proteins begins with acids in what organ?,small intestine,False,llama_distractor3
What is the most abundant metal of the earth's crust?,aluminum,True,correct_answer
What is the most abundant metal of the earth's crust?,iron,False,llama_distractor1
What is the most abundant metal of the earth's crust?,calcium,False,llama_distractor2
What is the most abundant metal of the earth's crust?,magnesium,False,llama_distractor3
What is the term for the total kinetic energy of moving particles of matter?,thermal energy,True,correct_answer
What is the term for the total kinetic energy of moving particles of matter?,kinetic energy,False,llama_distractor1
What is the term for the total kinetic energy of moving particles of matter?,potential energy,False,llama_distractor2
What is the term for the total kinetic energy of moving particles of matter?,mechanical energy,False,llama_distractor3
What part of the eye allows light to enter?,pupil,True,correct_answer
What part of the eye allows light to enter?,iris,False,llama_distractor1
What part of the eye allows light to enter?,cornea,False,llama_distractor2
What part of the eye allows light to enter?,lens,False,llama_distractor3
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",fight-or-flight,True,correct_answer
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",activation of the immune response,False,llama_distractor1
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",regulation of metabolic processes,False,llama_distractor2
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",modulation of the nervous system,False,llama_distractor3
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",vestibular system,True,correct_answer
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",auditory system,False,llama_distractor1
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",olfactory system,False,llama_distractor2
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",visual system,False,llama_distractor3
In what type of animals may a body cavity be present or absent?,triploblastic,True,correct_answer
In what type of animals may a body cavity be present or absent?,ength,False,llama_distractor1
In what type of animals may a body cavity be present or absent?,width,False,llama_distractor2
In what type of animals may a body cavity be present or absent?,height,False,llama_distractor3
Chemical reactions involve a transfer of heat energy. measured in what?,joules,True,correct_answer
Chemical reactions involve a transfer of heat energy. measured in what?,kcal,False,llama_distractor1
Chemical reactions involve a transfer of heat energy. measured in what?,celsius,False,llama_distractor2
Chemical reactions involve a transfer of heat energy. measured in what?,kelvin ratejellies joules,False,llama_distractor3
Trees and shrubs are example of what type of plant?,perennials,True,correct_answer
Trees and shrubs are example of what type of plant?,annuals,False,llama_distractor1
Trees and shrubs are example of what type of plant?, biennials,False,llama_distractor2
Trees and shrubs are example of what type of plant?, deciduous,False,llama_distractor3
"The products of what process are needed for cellular respiration, and vice versa?",photosynthesis,True,correct_answer
"The products of what process are needed for cellular respiration, and vice versa?",cellular respiration,False,llama_distractor1
"The products of what process are needed for cellular respiration, and vice versa?",energy storage,False,llama_distractor2
"The products of what process are needed for cellular respiration, and vice versa?",carbon dioxide,False,llama_distractor3
Most fungi get organic compounds from what?,dead organisms,True,correct_answer
Most fungi get organic compounds from what?,air,False,llama_distractor1
Most fungi get organic compounds from what?,water,False,llama_distractor2
Most fungi get organic compounds from what?,soil,False,llama_distractor3
How do very massive stars end their lives?,become red supergiants,True,correct_answer
How do very massive stars end their lives?,are,False,llama_distractor1
How do very massive stars end their lives?,again,False,llama_distractor2
How do very massive stars end their lives?,in the format you requested,False,llama_distractor3
Pairs of nitrogenous bases are attached to each other by?,hydrogen bonds,True,correct_answer
Pairs of nitrogenous bases are attached to each other by?,molecular glue,False,llama_distractor1
Pairs of nitrogenous bases are attached to each other by?,ionic bonds,False,llama_distractor2
Pairs of nitrogenous bases are attached to each other by?,covalent bonds,False,llama_distractor3
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?,plaque,True,correct_answer
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?,bone,False,llama_distractor1
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?, muscle,False,llama_distractor2
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?, nerve,False,llama_distractor3
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,hydroxide ions,True,correct_answer
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,ions,False,llama_distractor1
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,water,False,llama_distractor2
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,salt,False,llama_distractor3
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,voltages,True,correct_answer
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,battery voltage,False,llama_distractor1
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,electrical potential,False,llama_distractor2
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,reactant concentrations,False,llama_distractor3
Organisms that live deep in the ocean must be able to withstand what?,extreme water pressure,True,correct_answer
Organisms that live deep in the ocean must be able to withstand what?,very cold water,False,llama_distractor1
Organisms that live deep in the ocean must be able to withstand what?,complete darkness,False,llama_distractor2
Organisms that live deep in the ocean must be able to withstand what?,hot water containing chemicals,False,llama_distractor3
Which system are the brain and spinal cord apart of?,central nervous system,True,correct_answer
Which system are the brain and spinal cord apart of?,circulatory system,False,llama_distractor1
Which system are the brain and spinal cord apart of?, respiratory system,False,llama_distractor2
Which system are the brain and spinal cord apart of?, digestive system,False,llama_distractor3
What are biochemical catalysts that speed up biochemical reactions?,enzymes,True,correct_answer
What are biochemical catalysts that speed up biochemical reactions?,answer1,False,llama_distractor1
What are biochemical catalysts that speed up biochemical reactions?,hormones,False,llama_distractor2
What are biochemical catalysts that speed up biochemical reactions?,vitamins  ,False,llama_distractor3
What process can cause harmful alleles to become fixed?,genetic drift,True,correct_answer
What process can cause harmful alleles to become fixed?,natural selection,False,llama_distractor1
What process can cause harmful alleles to become fixed?,gene flow,False,llama_distractor2
What process can cause harmful alleles to become fixed?,mutation,False,llama_distractor3
What record shows that dinosaurs originated 200-250 million years ago?,fossil record,True,correct_answer
What record shows that dinosaurs originated 200-250 million years ago?,genetic record,False,llama_distractor1
What record shows that dinosaurs originated 200-250 million years ago?, video record,False,llama_distractor2
What record shows that dinosaurs originated 200-250 million years ago?, oral history,False,llama_distractor3
The lithosphere is divided into a dozen major and several minor what?,plates,True,correct_answer
The lithosphere is divided into a dozen major and several minor what?,regions,False,llama_distractor1
The lithosphere is divided into a dozen major and several minor what?,blocks,False,llama_distractor2
The lithosphere is divided into a dozen major and several minor what?,layers,False,llama_distractor3
"During the first year after birth, what is a baby called?",infant,True,correct_answer
"During the first year after birth, what is a baby called?",baby,False,llama_distractor1
"During the first year after birth, what is a baby called?",toddler,False,llama_distractor2
"During the first year after birth, what is a baby called?",newborn,False,llama_distractor3
What are used to indicate the number of atoms of an element that are in the compound?,prefixes,True,correct_answer
What are used to indicate the number of atoms of an element that are in the compound?,act as a indicator,False,llama_distractor1
What are used to indicate the number of atoms of an element that are in the compound?,points,False,llama_distractor2
What are used to indicate the number of atoms of an element that are in the compound?,symbols,False,llama_distractor3
Anything moving has what type of energy?,kinetic,True,correct_answer
Anything moving has what type of energy?,radioactive,False,llama_distractor1
Anything moving has what type of energy?,electromagnetic,False,llama_distractor2
Anything moving has what type of energy?,chemical,False,llama_distractor3
A skydiver will reach what when the air drag equals their weight?,terminal velocity,True,correct_answer
A skydiver will reach what when the air drag equals their weight?,cruising velocity,False,llama_distractor1
A skydiver will reach what when the air drag equals their weight?,landing velocity,False,llama_distractor2
A skydiver will reach what when the air drag equals their weight?,stall velocity,False,llama_distractor3
What organs are considered the female gonads?,ovaries,True,correct_answer
What organs are considered the female gonads?,liver,False,llama_distractor1
What organs are considered the female gonads?,kidneys,False,llama_distractor2
What organs are considered the female gonads?,stomach,False,llama_distractor3
What is the adaptation that certain animals use to become less visible to predators and prey?,camouflage,True,correct_answer
What is the adaptation that certain animals use to become less visible to predators and prey?,hide-and-seek,False,llama_distractor1
What is the adaptation that certain animals use to become less visible to predators and prey?,mimicry,False,llama_distractor2
What is the adaptation that certain animals use to become less visible to predators and prey?,disguise,False,llama_distractor3
What is another term for blood clotting?,coagulation,True,correct_answer
What is another term for blood clotting?,clogging,False,llama_distractor1
What is another term for blood clotting?,plugging,False,llama_distractor2
What is another term for blood clotting?,aggregation,False,llama_distractor3
What do you call the study of how organisms interact with their environment and each other?,ecology,True,correct_answer
What do you call the study of how organisms interact with their environment and each other?,physiology,False,llama_distractor1
What do you call the study of how organisms interact with their environment and each other?,genetics,False,llama_distractor2
What do you call the study of how organisms interact with their environment and each other?,evolutionary biology,False,llama_distractor3
Childbirth usually starts when which sac breaks?,amniotic,True,correct_answer
Childbirth usually starts when which sac breaks?,placental sac,False,llama_distractor1
Childbirth usually starts when which sac breaks?,vaginal wall,False,llama_distractor2
Childbirth usually starts when which sac breaks?,cervix,False,llama_distractor3
"What phenomenon, which is most important in small populations, occurs because the alleles in an offspring generation are a random sample of the alleles in the parent generation?",genetic drift,True,correct_answer
"What phenomenon, which is most important in small populations, occurs because the alleles in an offspring generation are a random sample of the alleles in the parent generation?",force selection,False,llama_distractor1
"What phenomenon, which is most important in small populations, occurs because the alleles in an offspring generation are a random sample of the alleles in the parent generation?",gradual selection,False,llama_distractor2
"What phenomenon, which is most important in small populations, occurs because the alleles in an offspring generation are a random sample of the alleles in the parent generation?",genetic mutation,False,llama_distractor3
What is the term for when an embryo fixes itself to the side of the uterus?,implantation,True,correct_answer
What is the term for when an embryo fixes itself to the side of the uterus?,attachment,False,llama_distractor1
What is the term for when an embryo fixes itself to the side of the uterus?,embedment,False,llama_distractor2
What is the term for when an embryo fixes itself to the side of the uterus?,adherence,False,llama_distractor3
"When exposed to ultraviolet, some substances, such as minerals, glow in characteristic visible wavelengths, a process called this?",fluorescence,True,correct_answer
"When exposed to ultraviolet, some substances, such as minerals, glow in characteristic visible wavelengths, a process called this?",glance,False,llama_distractor1
"When exposed to ultraviolet, some substances, such as minerals, glow in characteristic visible wavelengths, a process called this?",sparkle,False,llama_distractor2
"When exposed to ultraviolet, some substances, such as minerals, glow in characteristic visible wavelengths, a process called this?",flicker,False,llama_distractor3
What disease occurs when the cell cycle is no longer regulated?,cancer,True,correct_answer
What disease occurs when the cell cycle is no longer regulated?,cardiovascular disease,False,llama_distractor1
What disease occurs when the cell cycle is no longer regulated?,genetic disorder,False,llama_distractor2
What disease occurs when the cell cycle is no longer regulated?,autoimmune disease,False,llama_distractor3
Nerve cells that sense touch are found mainly where?,skin,True,correct_answer
Nerve cells that sense touch are found mainly where?,muscles,False,llama_distractor1
Nerve cells that sense touch are found mainly where?,joints,False,llama_distractor2
Nerve cells that sense touch are found mainly where?,tongue,False,llama_distractor3
What do concentric circles on a topographic map indicate?,a hill,True,correct_answer
What do concentric circles on a topographic map indicate?,a mountain,False,llama_distractor1
What do concentric circles on a topographic map indicate?,a valley,False,llama_distractor2
What do concentric circles on a topographic map indicate?,a river,False,llama_distractor3
What are the little sacs at the end of the bronchioles called?,alveoli,True,correct_answer
What are the little sacs at the end of the bronchioles called?,bronchi,False,llama_distractor1
What are the little sacs at the end of the bronchioles called?,trachea,False,llama_distractor2
What are the little sacs at the end of the bronchioles called?,pulmonary veins,False,llama_distractor3
How often should women perform a breast self-exam?,monthly,True,correct_answer
How often should women perform a breast self-exam?,weekly,False,llama_distractor1
How often should women perform a breast self-exam?,bi-weekly,False,llama_distractor2
How often should women perform a breast self-exam?,yearly,False,llama_distractor3
"The spokes of what structures that distinguish saturn appear seasonally, with an origin as yet unknown?",rings,True,correct_answer
"The spokes of what structures that distinguish saturn appear seasonally, with an origin as yet unknown?",atmosphere,False,llama_distractor1
"The spokes of what structures that distinguish saturn appear seasonally, with an origin as yet unknown?",moons,False,llama_distractor2
"The spokes of what structures that distinguish saturn appear seasonally, with an origin as yet unknown?",clouds,False,llama_distractor3
The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head,True,correct_answer
The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,shoulder,False,llama_distractor1
The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,arm,False,llama_distractor2
The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,ear,False,llama_distractor3
What type of plants does human welfare depend greatly on?,seed plants,True,correct_answer
What type of plants does human welfare depend greatly on?,all other plants,False,llama_distractor1
What type of plants does human welfare depend greatly on?,fungi,False,llama_distractor2
What type of plants does human welfare depend greatly on?,insects,False,llama_distractor3
What forms when secondary alcohols oxidize?,ketones,True,correct_answer
What forms when secondary alcohols oxidize?,carboxylic acids,False,llama_distractor1
What forms when secondary alcohols oxidize?,esters,False,llama_distractor2
What forms when secondary alcohols oxidize?,aldehydes,False,llama_distractor3
What are cells without a nucleus called?,prokaryotic cells,True,correct_answer
What are cells without a nucleus called?,eukaryotic cells,False,llama_distractor1
What are cells without a nucleus called?,archaeal cells,False,llama_distractor2
What are cells without a nucleus called?,bacterial cells,False,llama_distractor3
"Bones, cartilage, and what other thing make up the skeletal system?",ligaments,True,correct_answer
"Bones, cartilage, and what other thing make up the skeletal system?",tendons,False,llama_distractor1
"Bones, cartilage, and what other thing make up the skeletal system?",muscles,False,llama_distractor2
"Bones, cartilage, and what other thing make up the skeletal system?",nerves,False,llama_distractor3
"The hypothalamus is actually part of the brain, but it also secretes what?",hormones,True,correct_answer
"The hypothalamus is actually part of the brain, but it also secretes what?",ч secertase,False,llama_distractor1
"The hypothalamus is actually part of the brain, but it also secretes what?",blood cells,False,llama_distractor2
"The hypothalamus is actually part of the brain, but it also secretes what?",membranes,False,llama_distractor3
What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis,True,correct_answer
What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,rheumatism,False,llama_distractor1
What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,arthritis,False,llama_distractor2
What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,lymphangitis,False,llama_distractor3
"What is the study of water movement, including waves and ocean currents?",physical oceanography,True,correct_answer
"What is the study of water movement, including waves and ocean currents?",marine geology,False,llama_distractor1
"What is the study of water movement, including waves and ocean currents?",chemical oceanography,False,llama_distractor2
"What is the study of water movement, including waves and ocean currents?",marine biology,False,llama_distractor3
There are many types of asexual spores. conidiospores are unicellular or multicellular spores that are released directly from the tip or side of this?,hypha,True,correct_answer
There are many types of asexual spores. conidiospores are unicellular or multicellular spores that are released directly from the tip or side of this?,cell,False,llama_distractor1
There are many types of asexual spores. conidiospores are unicellular or multicellular spores that are released directly from the tip or side of this?,vegetative parent cell,False,llama_distractor2
There are many types of asexual spores. conidiospores are unicellular or multicellular spores that are released directly from the tip or side of this?,sporangium,False,llama_distractor3
What forms when nitrogen and sulfur oxides in air dissolve in rain?,acid rain,True,correct_answer
What forms when nitrogen and sulfur oxides in air dissolve in rain?,introduction,False,llama_distractor1
What forms when nitrogen and sulfur oxides in air dissolve in rain?,fog,False,llama_distractor2
What forms when nitrogen and sulfur oxides in air dissolve in rain?,mist,False,llama_distractor3
The ileum is the last part of what digestive system organ?,small intestine,True,correct_answer
The ileum is the last part of what digestive system organ?,stomach,False,llama_distractor1
The ileum is the last part of what digestive system organ?,liver,False,llama_distractor2
The ileum is the last part of what digestive system organ?,pancreas,False,llama_distractor3
What are the smallest structural and functional unit of all living organisms?,cells,True,correct_answer
What are the smallest structural and functional unit of all living organisms?,blood,False,llama_distractor1
What are the smallest structural and functional unit of all living organisms?,skin,False,llama_distractor2
What are the smallest structural and functional unit of all living organisms?,leaf,False,llama_distractor3
"Somatic cells come from the body and are not what, like sperm or eggs are?",gametes,True,correct_answer
"Somatic cells come from the body and are not what, like sperm or eggs are?",stem cells,False,llama_distractor1
"Somatic cells come from the body and are not what, like sperm or eggs are?",embryonic cells,False,llama_distractor2
"Somatic cells come from the body and are not what, like sperm or eggs are?",sex cells,False,llama_distractor3
What forms when nitrogen and oxygen combine at high temperatures?,nitrogen oxides,True,correct_answer
What forms when nitrogen and oxygen combine at high temperatures?,nitrogen neutrons,False,llama_distractor1
What forms when nitrogen and oxygen combine at high temperatures?,nitroglycerin,False,llama_distractor2
What forms when nitrogen and oxygen combine at high temperatures?,nitrogen nitrate,False,llama_distractor3
A diagram in which the numerical values of variables are represented by the height or length of lines or rectangles of equal width is called?,bar graph,True,correct_answer
A diagram in which the numerical values of variables are represented by the height or length of lines or rectangles of equal width is called?,raph diagram,False,llama_distractor1
A diagram in which the numerical values of variables are represented by the height or length of lines or rectangles of equal width is called?,line graph,False,llama_distractor2
A diagram in which the numerical values of variables are represented by the height or length of lines or rectangles of equal width is called?,pie chart,False,llama_distractor3
What opens two strands of dna?,helicase,True,correct_answer
What opens two strands of dna?,linearization,False,llama_distractor1
What opens two strands of dna?,pcr,False,llama_distractor2
What opens two strands of dna?,transcription,False,llama_distractor3
What come together to create continents and supercontinents?,microcontinents,True,correct_answer
What come together to create continents and supercontinents?,tectonic plates,False,llama_distractor1
What come together to create continents and supercontinents?,landmasses,False,llama_distractor2
What come together to create continents and supercontinents?,oceans,False,llama_distractor3
Most hybrids are sterile because what genetic structures are not homologous and cannot pair during meiosis?,chromosomes,True,correct_answer
Most hybrids are sterile because what genetic structures are not homologous and cannot pair during meiosis?,dna,False,llama_distractor1
Most hybrids are sterile because what genetic structures are not homologous and cannot pair during meiosis?,proteins,False,llama_distractor2
Most hybrids are sterile because what genetic structures are not homologous and cannot pair during meiosis?,genes,False,llama_distractor3
"Vultures, raccoons and blowflies are examples of what?",scavengers,True,correct_answer
"Vultures, raccoons and blowflies are examples of what?",predators,False,llama_distractor1
"Vultures, raccoons and blowflies are examples of what?",herbivores,False,llama_distractor2
"Vultures, raccoons and blowflies are examples of what?",omnivores,False,llama_distractor3
All organisms can be classified into one of three of this least specific grouping?,domains,True,correct_answer
All organisms can be classified into one of three of this least specific grouping?,phyla,False,llama_distractor1
All organisms can be classified into one of three of this least specific grouping?,classes,False,llama_distractor2
All organisms can be classified into one of three of this least specific grouping?,orders,False,llama_distractor3
What artery takes blood to the brain?,carotid,True,correct_answer
What artery takes blood to the brain?,brain,False,llama_distractor1
What artery takes blood to the brain?,aorta,False,llama_distractor2
What artery takes blood to the brain?,thoracic,False,llama_distractor3
The bohr model works only for which atom?,hydrogen,True,correct_answer
The bohr model works only for which atom?,he,False,llama_distractor1
The bohr model works only for which atom?,li,False,llama_distractor2
The bohr model works only for which atom?,be,False,llama_distractor3
What holds together adenine and thymine?,hydrogen bonds,True,correct_answer
What holds together adenine and thymine?,electronegativity,False,llama_distractor1
What holds together adenine and thymine?,covalent bonds,False,llama_distractor2
What holds together adenine and thymine?,ionic bonds,False,llama_distractor3
Approximately 20% of the atmosphere is made of which element?,oxygen,True,correct_answer
Approximately 20% of the atmosphere is made of which element?,helium,False,llama_distractor1
Approximately 20% of the atmosphere is made of which element?,nitrogen,False,llama_distractor2
Approximately 20% of the atmosphere is made of which element?,carbon dioxide,False,llama_distractor3
