question,option,is_correct,source
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",flowering,False,original_distractor1
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",rooting,False,original_distractor2
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",growth,False,original_distractor3
How does a neon light produce visible light?,electroluminescence,True,correct_answer
How does a neon light produce visible light?,luminescence,False,original_distractor1
How does a neon light produce visible light?,radiation,False,original_distractor2
How does a neon light produce visible light?,mitosis,False,original_distractor3
The bird ancestor that lived in trees developed what feature commonly associated with birds?,wings,True,correct_answer
The bird ancestor that lived in trees developed what feature commonly associated with birds?,tails,False,original_distractor1
The bird ancestor that lived in trees developed what feature commonly associated with birds?,webbed feet,False,original_distractor2
The bird ancestor that lived in trees developed what feature commonly associated with birds?,beaks,False,original_distractor3
What do most living things use to make atp from glucose?,oxygen,True,correct_answer
What do most living things use to make atp from glucose?,enzymes,False,original_distractor1
What do most living things use to make atp from glucose?,carbon,False,original_distractor2
What do most living things use to make atp from glucose?,nitrogen,False,original_distractor3
What are the two most common silicates?,feldspar and quartz,True,correct_answer
What are the two most common silicates?,Olivine and quartz,False,original_distractor1
What are the two most common silicates?,Micas	 and feldspar,False,original_distractor2
What are the two most common silicates?,Micas	 and quartz,False,original_distractor3
What term means the amount of water vapor in the air?,humidity,True,correct_answer
What term means the amount of water vapor in the air?,temperature,False,original_distractor1
What term means the amount of water vapor in the air?,pressure,False,original_distractor2
What term means the amount of water vapor in the air?,ambient,False,original_distractor3
Paracrine signals move by what method through the extracellular matrix?,diffusion,True,correct_answer
Paracrine signals move by what method through the extracellular matrix?,osmosis,False,original_distractor1
Paracrine signals move by what method through the extracellular matrix?,deposition,False,original_distractor2
Paracrine signals move by what method through the extracellular matrix?,transfusion,False,original_distractor3
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",plant,True,correct_answer
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",animal,False,original_distractor1
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",reproductive,False,original_distractor2
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",heterotroph,False,original_distractor3
What happens when mammals raise their hair with tiny muscles in the skin?,goosebumps,True,correct_answer
What happens when mammals raise their hair with tiny muscles in the skin?,bleeding,False,original_distractor1
What happens when mammals raise their hair with tiny muscles in the skin?,balding,False,original_distractor2
What happens when mammals raise their hair with tiny muscles in the skin?,bruising,False,original_distractor3
What are people with osteoporosis at increased risk of?,bone fractures,True,correct_answer
What are people with osteoporosis at increased risk of?,epilepsy,False,original_distractor1
What are people with osteoporosis at increased risk of?,senility,False,original_distractor2
What are people with osteoporosis at increased risk of?,growth spurt,False,original_distractor3
Where is energy stored in a chemical substance?,between atoms,True,correct_answer
Where is energy stored in a chemical substance?,on the surface,False,original_distractor1
Where is energy stored in a chemical substance?,in molecules,False,original_distractor2
Where is energy stored in a chemical substance?,inside atoms,False,original_distractor3
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",immune system,True,correct_answer
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",respiratory system,False,original_distractor1
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",cardiovascular system,False,original_distractor2
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",blood vessels,False,original_distractor3
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",nitrogen,True,correct_answer
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",potasium,False,original_distractor1
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",calcium,False,original_distractor2
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",hydrogen,False,original_distractor3
Most insects reproduce quickly and through what type of reproduction?,sexual reproduction,True,correct_answer
Most insects reproduce quickly and through what type of reproduction?,spores,False,original_distractor1
Most insects reproduce quickly and through what type of reproduction?,photosynthesis,False,original_distractor2
Most insects reproduce quickly and through what type of reproduction?,asexual reproduction,False,original_distractor3
Digestion of proteins begins with acids in what organ?,stomach,True,correct_answer
Digestion of proteins begins with acids in what organ?,colon,False,original_distractor1
Digestion of proteins begins with acids in what organ?,liver,False,original_distractor2
Digestion of proteins begins with acids in what organ?,brain,False,original_distractor3
What is the most abundant metal of the earth's crust?,aluminum,True,correct_answer
What is the most abundant metal of the earth's crust?,calcium,False,original_distractor1
What is the most abundant metal of the earth's crust?,copper,False,original_distractor2
What is the most abundant metal of the earth's crust?,magnetite,False,original_distractor3
What is the term for the total kinetic energy of moving particles of matter?,thermal energy,True,correct_answer
What is the term for the total kinetic energy of moving particles of matter?,heavy energy,False,original_distractor1
What is the term for the total kinetic energy of moving particles of matter?,mechanical energy,False,original_distractor2
What is the term for the total kinetic energy of moving particles of matter?,Newton's energy,False,original_distractor3
What part of the eye allows light to enter?,pupil,True,correct_answer
What part of the eye allows light to enter?,eyelid,False,original_distractor1
What part of the eye allows light to enter?,retina,False,original_distractor2
What part of the eye allows light to enter?,iris,False,original_distractor3
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",fight-or-flight,True,correct_answer
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",do-or-die,False,original_distractor1
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",fainting,False,original_distractor2
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",sink-or-swim,False,original_distractor3
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",vestibular system,True,correct_answer
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",vasculature system,False,original_distractor1
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",ventrical system,False,original_distractor2
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",lipids system,False,original_distractor3
In what type of animals may a body cavity be present or absent?,triploblastic,True,correct_answer
In what type of animals may a body cavity be present or absent?,vertebrate,False,original_distractor1
In what type of animals may a body cavity be present or absent?,bicellular,False,original_distractor2
In what type of animals may a body cavity be present or absent?,nonvascular,False,original_distractor3
Chemical reactions involve a transfer of heat energy. measured in what?,joules,True,correct_answer
Chemical reactions involve a transfer of heat energy. measured in what?,amps,False,original_distractor1
Chemical reactions involve a transfer of heat energy. measured in what?,amperes,False,original_distractor2
Chemical reactions involve a transfer of heat energy. measured in what?,thermals,False,original_distractor3
Trees and shrubs are example of what type of plant?,perennials,True,correct_answer
Trees and shrubs are example of what type of plant?,biennial,False,original_distractor1
Trees and shrubs are example of what type of plant?,annuals,False,original_distractor2
Trees and shrubs are example of what type of plant?,grasses,False,original_distractor3
"The products of what process are needed for cellular respiration, and vice versa?",photosynthesis,True,correct_answer
"The products of what process are needed for cellular respiration, and vice versa?",digestion,False,original_distractor1
"The products of what process are needed for cellular respiration, and vice versa?",spermatogenesis,False,original_distractor2
"The products of what process are needed for cellular respiration, and vice versa?",circulation,False,original_distractor3
Most fungi get organic compounds from what?,dead organisms,True,correct_answer
Most fungi get organic compounds from what?,inorganic material,False,original_distractor1
Most fungi get organic compounds from what?,living organisms,False,original_distractor2
Most fungi get organic compounds from what?,carnivorous organisms,False,original_distractor3
How do very massive stars end their lives?,become red supergiants,True,correct_answer
How do very massive stars end their lives?,become super novas,False,original_distractor1
How do very massive stars end their lives?,explode,False,original_distractor2
How do very massive stars end their lives?,consumed by black hole,False,original_distractor3
Pairs of nitrogenous bases are attached to each other by?,hydrogen bonds,True,correct_answer
Pairs of nitrogenous bases are attached to each other by?,potassium bonds,False,original_distractor1
Pairs of nitrogenous bases are attached to each other by?,ionic bonds,False,original_distractor2
Pairs of nitrogenous bases are attached to each other by?,magnetism,False,original_distractor3
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?,plaque,True,correct_answer
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?,enamel,False,original_distractor1
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?,red blood cells,False,original_distractor2
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?,white blood cells,False,original_distractor3
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,hydroxide ions,True,correct_answer
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,combustion ions,False,original_distractor1
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,calcium ions,False,original_distractor2
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,monoxide ions,False,original_distractor3
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,voltages,True,correct_answer
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,currents,False,original_distractor1
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,resistances,False,original_distractor2
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,weights,False,original_distractor3
Organisms that live deep in the ocean must be able to withstand what?,extreme water pressure,True,correct_answer
Organisms that live deep in the ocean must be able to withstand what?,the sun,False,original_distractor1
Organisms that live deep in the ocean must be able to withstand what?,significant water pressure,False,original_distractor2
Organisms that live deep in the ocean must be able to withstand what?,tsunamis,False,original_distractor3
Which system are the brain and spinal cord apart of?,central nervous system,True,correct_answer
Which system are the brain and spinal cord apart of?,large nervous system,False,original_distractor1
Which system are the brain and spinal cord apart of?,cerebral cortex,False,original_distractor2
Which system are the brain and spinal cord apart of?,limbic system,False,original_distractor3
What are biochemical catalysts that speed up biochemical reactions?,enzymes,True,correct_answer
What are biochemical catalysts that speed up biochemical reactions?,inhibitor,False,original_distractor1
What are biochemical catalysts that speed up biochemical reactions?,metabolites,False,original_distractor2
What are biochemical catalysts that speed up biochemical reactions?,polymers,False,original_distractor3
What process can cause harmful alleles to become fixed?,genetic drift,True,correct_answer
What process can cause harmful alleles to become fixed?,natural selection,False,original_distractor1
What process can cause harmful alleles to become fixed?,migration,False,original_distractor2
What process can cause harmful alleles to become fixed?,mutation,False,original_distractor3
What record shows that dinosaurs originated 200-250 million years ago?,fossil record,True,correct_answer
What record shows that dinosaurs originated 200-250 million years ago?,ancient record,False,original_distractor1
What record shows that dinosaurs originated 200-250 million years ago?,biological record,False,original_distractor2
What record shows that dinosaurs originated 200-250 million years ago?,species record,False,original_distractor3
The lithosphere is divided into a dozen major and several minor what?,plates,True,correct_answer
The lithosphere is divided into a dozen major and several minor what?,zones,False,original_distractor1
The lithosphere is divided into a dozen major and several minor what?,crystals,False,original_distractor2
The lithosphere is divided into a dozen major and several minor what?,faults,False,original_distractor3
"During the first year after birth, what is a baby called?",infant,True,correct_answer
"During the first year after birth, what is a baby called?",toddler,False,original_distractor1
"During the first year after birth, what is a baby called?",newborn,False,original_distractor2
"During the first year after birth, what is a baby called?",fetus,False,original_distractor3
What are used to indicate the number of atoms of an element that are in the compound?,prefixes,True,correct_answer
What are used to indicate the number of atoms of an element that are in the compound?,indices,False,original_distractor1
What are used to indicate the number of atoms of an element that are in the compound?,suffixes,False,original_distractor2
What are used to indicate the number of atoms of an element that are in the compound?,digits,False,original_distractor3
Anything moving has what type of energy?,kinetic,True,correct_answer
Anything moving has what type of energy?,magnetic,False,original_distractor1
Anything moving has what type of energy?,potential,False,original_distractor2
Anything moving has what type of energy?,thermal,False,original_distractor3
A skydiver will reach what when the air drag equals their weight?,terminal velocity,True,correct_answer
A skydiver will reach what when the air drag equals their weight?,constant velocity,False,original_distractor1
A skydiver will reach what when the air drag equals their weight?,building velocity,False,original_distractor2
A skydiver will reach what when the air drag equals their weight?,ending velocity,False,original_distractor3
What organs are considered the female gonads?,ovaries,True,correct_answer
What organs are considered the female gonads?,testes,False,original_distractor1
What organs are considered the female gonads?,uterus,False,original_distractor2
What organs are considered the female gonads?,fallopian tubes,False,original_distractor3
What is the adaptation that certain animals use to become less visible to predators and prey?,camouflage,True,correct_answer
What is the adaptation that certain animals use to become less visible to predators and prey?,skeletons,False,original_distractor1
What is the adaptation that certain animals use to become less visible to predators and prey?,speed,False,original_distractor2
What is the adaptation that certain animals use to become less visible to predators and prey?,insulation,False,original_distractor3
What is another term for blood clotting?,coagulation,True,correct_answer
What is another term for blood clotting?,adulation,False,original_distractor1
What is another term for blood clotting?,oxidation,False,original_distractor2
What is another term for blood clotting?,differentiation,False,original_distractor3
What do you call the study of how organisms interact with their environment and each other?,ecology,True,correct_answer
What do you call the study of how organisms interact with their environment and each other?,biology,False,original_distractor1
What do you call the study of how organisms interact with their environment and each other?,biochemistry,False,original_distractor2
What do you call the study of how organisms interact with their environment and each other?,climatology,False,original_distractor3
Childbirth usually starts when which sac breaks?,amniotic,True,correct_answer
Childbirth usually starts when which sac breaks?,umbilical,False,original_distractor1
Childbirth usually starts when which sac breaks?,uterine,False,original_distractor2
Childbirth usually starts when which sac breaks?,protein,False,original_distractor3
"What phenomenon, which is most important in small populations, occurs because the alleles in an offspring generation are a random sample of the alleles in the parent generation?",genetic drift,True,correct_answer
"What phenomenon, which is most important in small populations, occurs because the alleles in an offspring generation are a random sample of the alleles in the parent generation?",genetic DNA,False,original_distractor1
"What phenomenon, which is most important in small populations, occurs because the alleles in an offspring generation are a random sample of the alleles in the parent generation?",genetic mutation,False,original_distractor2
"What phenomenon, which is most important in small populations, occurs because the alleles in an offspring generation are a random sample of the alleles in the parent generation?",genetic code,False,original_distractor3
What is the term for when an embryo fixes itself to the side of the uterus?,implantation,True,correct_answer
What is the term for when an embryo fixes itself to the side of the uterus?,bacterial,False,original_distractor1
What is the term for when an embryo fixes itself to the side of the uterus?,parasite,False,original_distractor2
What is the term for when an embryo fixes itself to the side of the uterus?,exploration,False,original_distractor3
"When exposed to ultraviolet, some substances, such as minerals, glow in characteristic visible wavelengths, a process called this?",fluorescence,True,correct_answer
"When exposed to ultraviolet, some substances, such as minerals, glow in characteristic visible wavelengths, a process called this?",plasma,False,original_distractor1
"When exposed to ultraviolet, some substances, such as minerals, glow in characteristic visible wavelengths, a process called this?",chemical reaction,False,original_distractor2
"When exposed to ultraviolet, some substances, such as minerals, glow in characteristic visible wavelengths, a process called this?",pigment,False,original_distractor3
What disease occurs when the cell cycle is no longer regulated?,cancer,True,correct_answer
What disease occurs when the cell cycle is no longer regulated?,allergy,False,original_distractor1
What disease occurs when the cell cycle is no longer regulated?,schizophrenia,False,original_distractor2
What disease occurs when the cell cycle is no longer regulated?,malnutrition,False,original_distractor3
Nerve cells that sense touch are found mainly where?,skin,True,correct_answer
Nerve cells that sense touch are found mainly where?,stomach,False,original_distractor1
Nerve cells that sense touch are found mainly where?,brain,False,original_distractor2
Nerve cells that sense touch are found mainly where?,lungs,False,original_distractor3
What do concentric circles on a topographic map indicate?,a hill,True,correct_answer
What do concentric circles on a topographic map indicate?,a forest,False,original_distractor1
What do concentric circles on a topographic map indicate?,a lake,False,original_distractor2
What do concentric circles on a topographic map indicate?,a crater,False,original_distractor3
What are the little sacs at the end of the bronchioles called?,alveoli,True,correct_answer
What are the little sacs at the end of the bronchioles called?,lung,False,original_distractor1
What are the little sacs at the end of the bronchioles called?,respiratory sacs,False,original_distractor2
What are the little sacs at the end of the bronchioles called?,ganglion,False,original_distractor3
How often should women perform a breast self-exam?,monthly,True,correct_answer
How often should women perform a breast self-exam?,yearly,False,original_distractor1
How often should women perform a breast self-exam?,weekly,False,original_distractor2
How often should women perform a breast self-exam?,quarterly,False,original_distractor3
"The spokes of what structures that distinguish saturn appear seasonally, with an origin as yet unknown?",rings,True,correct_answer
"The spokes of what structures that distinguish saturn appear seasonally, with an origin as yet unknown?",moons,False,original_distractor1
"The spokes of what structures that distinguish saturn appear seasonally, with an origin as yet unknown?",craters,False,original_distractor2
"The spokes of what structures that distinguish saturn appear seasonally, with an origin as yet unknown?",satellites,False,original_distractor3
The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head,True,correct_answer
The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,tongue,False,original_distractor1
The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,eye,False,original_distractor2
The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,knee,False,original_distractor3
What type of plants does human welfare depend greatly on?,seed plants,True,correct_answer
What type of plants does human welfare depend greatly on?,mosses,False,original_distractor1
What type of plants does human welfare depend greatly on?,ferns,False,original_distractor2
What type of plants does human welfare depend greatly on?,fertilizer plants,False,original_distractor3
What forms when secondary alcohols oxidize?,ketones,True,correct_answer
What forms when secondary alcohols oxidize?,chromosomes,False,original_distractor1
What forms when secondary alcohols oxidize?,ions,False,original_distractor2
What forms when secondary alcohols oxidize?,electrons,False,original_distractor3
What are cells without a nucleus called?,prokaryotic cells,True,correct_answer
What are cells without a nucleus called?,Monocyte Cells,False,original_distractor1
What are cells without a nucleus called?,heterogeneous cells,False,original_distractor2
What are cells without a nucleus called?,crustal cells,False,original_distractor3
"Bones, cartilage, and what other thing make up the skeletal system?",ligaments,True,correct_answer
"Bones, cartilage, and what other thing make up the skeletal system?",muscles,False,original_distractor1
"Bones, cartilage, and what other thing make up the skeletal system?",organs,False,original_distractor2
"Bones, cartilage, and what other thing make up the skeletal system?",lungs,False,original_distractor3
"The hypothalamus is actually part of the brain, but it also secretes what?",hormones,True,correct_answer
"The hypothalamus is actually part of the brain, but it also secretes what?",enzymes,False,original_distractor1
"The hypothalamus is actually part of the brain, but it also secretes what?",acids,False,original_distractor2
"The hypothalamus is actually part of the brain, but it also secretes what?",electrolytes,False,original_distractor3
What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis,True,correct_answer
What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,pulmonary edema,False,original_distractor1
What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,gigantism,False,original_distractor2
What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,fibrosis,False,original_distractor3
"What is the study of water movement, including waves and ocean currents?",physical oceanography,True,correct_answer
"What is the study of water movement, including waves and ocean currents?",theoretical oceanography,False,original_distractor1
"What is the study of water movement, including waves and ocean currents?",experimental oceanography,False,original_distractor2
"What is the study of water movement, including waves and ocean currents?",thermal oceanography,False,original_distractor3
There are many types of asexual spores. conidiospores are unicellular or multicellular spores that are released directly from the tip or side of this?,hypha,True,correct_answer
There are many types of asexual spores. conidiospores are unicellular or multicellular spores that are released directly from the tip or side of this?,ganglion,False,original_distractor1
There are many types of asexual spores. conidiospores are unicellular or multicellular spores that are released directly from the tip or side of this?,idioma,False,original_distractor2
There are many types of asexual spores. conidiospores are unicellular or multicellular spores that are released directly from the tip or side of this?,goychay,False,original_distractor3
What forms when nitrogen and sulfur oxides in air dissolve in rain?,acid rain,True,correct_answer
What forms when nitrogen and sulfur oxides in air dissolve in rain?,carbon rain,False,original_distractor1
What forms when nitrogen and sulfur oxides in air dissolve in rain?,dioxide rain,False,original_distractor2
What forms when nitrogen and sulfur oxides in air dissolve in rain?,acid snow,False,original_distractor3
The ileum is the last part of what digestive system organ?,small intestine,True,correct_answer
The ileum is the last part of what digestive system organ?,stomach,False,original_distractor1
The ileum is the last part of what digestive system organ?,esophagus,False,original_distractor2
The ileum is the last part of what digestive system organ?,large intestine,False,original_distractor3
What are the smallest structural and functional unit of all living organisms?,cells,True,correct_answer
What are the smallest structural and functional unit of all living organisms?,neutrons,False,original_distractor1
What are the smallest structural and functional unit of all living organisms?,lipids,False,original_distractor2
What are the smallest structural and functional unit of all living organisms?,proteins,False,original_distractor3
"Somatic cells come from the body and are not what, like sperm or eggs are?",gametes,True,correct_answer
"Somatic cells come from the body and are not what, like sperm or eggs are?",spores,False,original_distractor1
"Somatic cells come from the body and are not what, like sperm or eggs are?",toxins,False,original_distractor2
"Somatic cells come from the body and are not what, like sperm or eggs are?",organic,False,original_distractor3
What forms when nitrogen and oxygen combine at high temperatures?,nitrogen oxides,True,correct_answer
What forms when nitrogen and oxygen combine at high temperatures?,hydrocarbons,False,original_distractor1
What forms when nitrogen and oxygen combine at high temperatures?,nitric acid,False,original_distractor2
What forms when nitrogen and oxygen combine at high temperatures?,calcium oxides,False,original_distractor3
A diagram in which the numerical values of variables are represented by the height or length of lines or rectangles of equal width is called?,bar graph,True,correct_answer
A diagram in which the numerical values of variables are represented by the height or length of lines or rectangles of equal width is called?,pie chart,False,original_distractor1
A diagram in which the numerical values of variables are represented by the height or length of lines or rectangles of equal width is called?,venn diagram,False,original_distractor2
A diagram in which the numerical values of variables are represented by the height or length of lines or rectangles of equal width is called?,circle graph,False,original_distractor3
What opens two strands of dna?,helicase,True,correct_answer
What opens two strands of dna?,replication,False,original_distractor1
What opens two strands of dna?,adenylate,False,original_distractor2
What opens two strands of dna?,chromosome,False,original_distractor3
What come together to create continents and supercontinents?,microcontinents,True,correct_answer
What come together to create continents and supercontinents?,islands,False,original_distractor1
What come together to create continents and supercontinents?,volcanic sediment,False,original_distractor2
What come together to create continents and supercontinents?,mountains,False,original_distractor3
Most hybrids are sterile because what genetic structures are not homologous and cannot pair during meiosis?,chromosomes,True,correct_answer
Most hybrids are sterile because what genetic structures are not homologous and cannot pair during meiosis?,zygotes,False,original_distractor1
Most hybrids are sterile because what genetic structures are not homologous and cannot pair during meiosis?,ribosomes,False,original_distractor2
Most hybrids are sterile because what genetic structures are not homologous and cannot pair during meiosis?,phenotypes,False,original_distractor3
"Vultures, raccoons and blowflies are examples of what?",scavengers,True,correct_answer
"Vultures, raccoons and blowflies are examples of what?",producer,False,original_distractor1
"Vultures, raccoons and blowflies are examples of what?",predator,False,original_distractor2
"Vultures, raccoons and blowflies are examples of what?",consumer,False,original_distractor3
All organisms can be classified into one of three of this least specific grouping?,domains,True,correct_answer
All organisms can be classified into one of three of this least specific grouping?,aspects,False,original_distractor1
All organisms can be classified into one of three of this least specific grouping?,phlylum,False,original_distractor2
All organisms can be classified into one of three of this least specific grouping?,species,False,original_distractor3
What artery takes blood to the brain?,carotid,True,correct_answer
What artery takes blood to the brain?,veins,False,original_distractor1
What artery takes blood to the brain?,pulmonary,False,original_distractor2
What artery takes blood to the brain?,coronary,False,original_distractor3
The bohr model works only for which atom?,hydrogen,True,correct_answer
The bohr model works only for which atom?,helium,False,original_distractor1
The bohr model works only for which atom?,carbon,False,original_distractor2
The bohr model works only for which atom?,boron,False,original_distractor3
What holds together adenine and thymine?,hydrogen bonds,True,correct_answer
What holds together adenine and thymine?,covalent bonds,False,original_distractor1
What holds together adenine and thymine?,potassium bonds,False,original_distractor2
What holds together adenine and thymine?,helium bonds,False,original_distractor3
Approximately 20% of the atmosphere is made of which element?,oxygen,True,correct_answer
Approximately 20% of the atmosphere is made of which element?,hydrogen,False,original_distractor1
Approximately 20% of the atmosphere is made of which element?,carbon,False,original_distractor2
Approximately 20% of the atmosphere is made of which element?,nitrogen,False,original_distractor3
Compound forms when atoms of nonmetals form molecules that are held together by what?,covalent bonds,True,correct_answer
Compound forms when atoms of nonmetals form molecules that are held together by what?,phenotype bonds,False,original_distractor1
Compound forms when atoms of nonmetals form molecules that are held together by what?,magnetic bonds,False,original_distractor2
Compound forms when atoms of nonmetals form molecules that are held together by what?,dissonance bonds,False,original_distractor3
Which property of diamond makes it so hard?,chemical bonds,True,correct_answer
Which property of diamond makes it so hard?,non-covalent bonds,False,original_distractor1
Which property of diamond makes it so hard?,metal-metal bonds,False,original_distractor2
Which property of diamond makes it so hard?,carbon bonds,False,original_distractor3
