question,correct_answer,llama_distractor1,llama_distractor2,llama_distractor3,original_distractor1,original_distractor2,original_distractor3
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",immune system,heart,brain,liver,respiratory system,cardiovascular system,blood vessels
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",nitrogen,carbohydrates,proteins,sulfuric acid,potasium,calcium,hydrogen
Most insects reproduce quickly and through what type of reproduction?,sexual reproduction,asexual reproduction, parthenogenesis, budding,spores,photosynthesis,asexual reproduction
Digestion of proteins begins with acids in what organ?,stomach,liver,pancreas,small intestine,colon,liver,brain
What is the most abundant metal of the earth's crust?,aluminum,iron,calcium,magnesium,calcium,copper,magnetite
What is the term for the total kinetic energy of moving particles of matter?,thermal energy,kinetic energy,potential energy,mechanical energy,heavy energy,mechanical energy,Newton's energy
What part of the eye allows light to enter?,pupil,iris,cornea,lens,eyelid,retina,iris
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",fight-or-flight,activation of the immune response,regulation of metabolic processes,modulation of the nervous system,do-or-die,fainting,sink-or-swim
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",vestibular system,auditory system,olfactory system,visual system,vasculature system,ventrical system,lipids system
In what type of animals may a body cavity be present or absent?,triploblastic,ength,width,height,vertebrate,bicellular,nonvascular
Chemical reactions involve a transfer of heat energy. measured in what?,joules,kcal,celsius,kelvin ratejellies joules,amps,amperes,thermals
Trees and shrubs are example of what type of plant?,perennials,annuals, biennials, deciduous,biennial,annuals,grasses
"The products of what process are needed for cellular respiration, and vice versa?",photosynthesis,cellular respiration,energy storage,carbon dioxide,digestion,spermatogenesis,circulation
Most fungi get organic compounds from what?,dead organisms,air,water,soil,inorganic material,living organisms,carnivorous organisms
How do very massive stars end their lives?,become red supergiants,are,again,in the format you requested,become super novas,explode,consumed by black hole
Pairs of nitrogenous bases are attached to each other by?,hydrogen bonds,molecular glue,ionic bonds,covalent bonds,potassium bonds,ionic bonds,magnetism
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?,plaque,bone, muscle, nerve,enamel,red blood cells,white blood cells
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,hydroxide ions,ions,water,salt,combustion ions,calcium ions,monoxide ions
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,voltages,battery voltage,electrical potential,reactant concentrations,currents,resistances,weights
Organisms that live deep in the ocean must be able to withstand what?,extreme water pressure,very cold water,complete darkness,hot water containing chemicals,the sun,significant water pressure,tsunamis
Which system are the brain and spinal cord apart of?,central nervous system,circulatory system, respiratory system, digestive system,large nervous system,cerebral cortex,limbic system
What are biochemical catalysts that speed up biochemical reactions?,enzymes,answer1,hormones,vitamins  ,inhibitor,metabolites,polymers
What process can cause harmful alleles to become fixed?,genetic drift,natural selection,gene flow,mutation,natural selection,migration,mutation
What record shows that dinosaurs originated 200-250 million years ago?,fossil record,genetic record, video record, oral history,ancient record,biological record,species record
The lithosphere is divided into a dozen major and several minor what?,plates,regions,blocks,layers,zones,crystals,faults
"During the first year after birth, what is a baby called?",infant,baby,toddler,newborn,toddler,newborn,fetus
What are used to indicate the number of atoms of an element that are in the compound?,prefixes,act as a indicator,points,symbols,indices,suffixes,digits
Anything moving has what type of energy?,kinetic,radioactive,electromagnetic,chemical,magnetic,potential,thermal
A skydiver will reach what when the air drag equals their weight?,terminal velocity,cruising velocity,landing velocity,stall velocity,constant velocity,building velocity,ending velocity
What organs are considered the female gonads?,ovaries,liver,kidneys,stomach,testes,uterus,fallopian tubes
What is the adaptation that certain animals use to become less visible to predators and prey?,camouflage,hide-and-seek,mimicry,disguise,skeletons,speed,insulation
What is another term for blood clotting?,coagulation,clogging,plugging,aggregation,adulation,oxidation,differentiation
What do you call the study of how organisms interact with their environment and each other?,ecology,physiology,genetics,evolutionary biology,biology,biochemistry,climatology
Childbirth usually starts when which sac breaks?,amniotic,placental sac,vaginal wall,cervix,umbilical,uterine,protein
"What phenomenon, which is most important in small populations, occurs because the alleles in an offspring generation are a random sample of the alleles in the parent generation?",genetic drift,force selection,gradual selection,genetic mutation,genetic DNA,genetic mutation,genetic code
What is the term for when an embryo fixes itself to the side of the uterus?,implantation,attachment,embedment,adherence,bacterial,parasite,exploration
"When exposed to ultraviolet, some substances, such as minerals, glow in characteristic visible wavelengths, a process called this?",fluorescence,glance,sparkle,flicker,plasma,chemical reaction,pigment
What disease occurs when the cell cycle is no longer regulated?,cancer,cardiovascular disease,genetic disorder,autoimmune disease,allergy,schizophrenia,malnutrition
Nerve cells that sense touch are found mainly where?,skin,muscles,joints,tongue,stomach,brain,lungs
What do concentric circles on a topographic map indicate?,a hill,a mountain,a valley,a river,a forest,a lake,a crater
What are the little sacs at the end of the bronchioles called?,alveoli,bronchi,trachea,pulmonary veins,lung,respiratory sacs,ganglion
How often should women perform a breast self-exam?,monthly,weekly,bi-weekly,yearly,yearly,weekly,quarterly
"The spokes of what structures that distinguish saturn appear seasonally, with an origin as yet unknown?",rings,atmosphere,moons,clouds,moons,craters,satellites
The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head,shoulder,arm,ear,tongue,eye,knee
What type of plants does human welfare depend greatly on?,seed plants,all other plants,fungi,insects,mosses,ferns,fertilizer plants
What forms when secondary alcohols oxidize?,ketones,carboxylic acids,esters,aldehydes,chromosomes,ions,electrons
What are cells without a nucleus called?,prokaryotic cells,eukaryotic cells,archaeal cells,bacterial cells,Monocyte Cells,heterogeneous cells,crustal cells
"Bones, cartilage, and what other thing make up the skeletal system?",ligaments,tendons,muscles,nerves,muscles,organs,lungs
"The hypothalamus is actually part of the brain, but it also secretes what?",hormones,ч secertase,blood cells,membranes,enzymes,acids,electrolytes
What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis,rheumatism,arthritis,lymphangitis,pulmonary edema,gigantism,fibrosis
"What is the study of water movement, including waves and ocean currents?",physical oceanography,marine geology,chemical oceanography,marine biology,theoretical oceanography,experimental oceanography,thermal oceanography
There are many types of asexual spores. conidiospores are unicellular or multicellular spores that are released directly from the tip or side of this?,hypha,cell,vegetative parent cell,sporangium,ganglion,idioma,goychay
What forms when nitrogen and sulfur oxides in air dissolve in rain?,acid rain,introduction,fog,mist,carbon rain,dioxide rain,acid snow
The ileum is the last part of what digestive system organ?,small intestine,stomach,liver,pancreas,stomach,esophagus,large intestine
What are the smallest structural and functional unit of all living organisms?,cells,blood,skin,leaf,neutrons,lipids,proteins
"Somatic cells come from the body and are not what, like sperm or eggs are?",gametes,stem cells,embryonic cells,sex cells,spores,toxins,organic
What forms when nitrogen and oxygen combine at high temperatures?,nitrogen oxides,nitrogen neutrons,nitroglycerin,nitrogen nitrate,hydrocarbons,nitric acid,calcium oxides
A diagram in which the numerical values of variables are represented by the height or length of lines or rectangles of equal width is called?,bar graph,raph diagram,line graph,pie chart,pie chart,venn diagram,circle graph
What opens two strands of dna?,helicase,linearization,pcr,transcription,replication,adenylate,chromosome
What come together to create continents and supercontinents?,microcontinents,tectonic plates,landmasses,oceans,islands,volcanic sediment,mountains
Most hybrids are sterile because what genetic structures are not homologous and cannot pair during meiosis?,chromosomes,dna,proteins,genes,zygotes,ribosomes,phenotypes
"Vultures, raccoons and blowflies are examples of what?",scavengers,predators,herbivores,omnivores,producer,predator,consumer
All organisms can be classified into one of three of this least specific grouping?,domains,phyla,classes,orders,aspects,phlylum,species
What artery takes blood to the brain?,carotid,brain,aorta,thoracic,veins,pulmonary,coronary
The bohr model works only for which atom?,hydrogen,he,li,be,helium,carbon,boron
What holds together adenine and thymine?,hydrogen bonds,electronegativity,covalent bonds,ionic bonds,covalent bonds,potassium bonds,helium bonds
Approximately 20% of the atmosphere is made of which element?,oxygen,helium,nitrogen,carbon dioxide,hydrogen,carbon,nitrogen
Compound forms when atoms of nonmetals form molecules that are held together by what?,covalent bonds,ionic bonds,metallic bonds,hydrogen bonds,phenotype bonds,magnetic bonds,dissonance bonds
Which property of diamond makes it so hard?,chemical bonds,the number of connections between atoms,the strength of the connections,the identity of the elements joining together,non-covalent bonds,metal-metal bonds,carbon bonds
Where does the energy produced by plants come from?,sunlight,water,soil,carbon dioxide,groundwater,animals,evaporation
"The cell walls of what organisms are strengthened by chitin, unlike plant cell walls, which contain cellulose?",fungi,bacteria,archaea,protists,virus,bacterium,yeast
What three parts is the earth divided into?,"crust, mantle, core",atmosphere,oceans,continents,"crust, core, magma","oceans, land, air","troposphere, atomosphere, xerosphere"
Ac is better than dc for doing what?,transporting electrcal energy,ступающий,engine performance,power consumption,cooking electrcal energy,storing electrical energy,stopping electrical ebergy
"What arises due to crossing over, independent assortment, and the random union of gametes?",genetic variation,agemos,genetic similarity,hybrid vigor,susceptible variation,recessive variation,alternative variation
Myofibrils are long cylindrical structures that lie parallel to and run the entire length of what fibers?,skeletal muscle fibers,tender muscle fibers,nerve fibers,connective tissue fibers,uplift muscle fibers,luminous muscle fibers,heart muscle fibers
Hydrogen atoms form only one covalent bond because they have only one have one of what to pair with it?,valence electron,electron,proton,neutron,loops electron,modular electron,Water electron
The ionic end of a detergent can either be a sulfate or what?,sulfonate,three incorrect answers chloride,phosphate,citrate,molecule,calcite,phosphate
"The inside of the small intestine has many folds, called villi. microvilli are lined with blood vessels as well as lymphatic vessels. the inside of the small intestine is called this?",lumen,villi,blood vessels,lymphatic vessels,reticular,porous,osmotic
Why do fish have short esophaguses?,no lungs,fish have short esophaguses because their legs are too long,they have poor posture,the water pressure is too strong,big tail,no intestines,no mouths
What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,birds,reptiles,mammals,amphibians,insects,mammals,reptiles
"During evolution, something happened to increase the size of what organ in humans, relative to that of the chimpanzee?",brain,liver,heart,lungs,stomach,lung,liver
The glass hydrometer is filled with air and weighted with lead at the bottom. it floats highest in the densest fluids and has been calibrated and labeled so that you can read this from it?,specific gravity,temperature,ph,conductivity,volume,mass,density
Organs involved in digestion that do not have food pass through them are called?,accessory organs,major organs,primary organs,digestive organs,vestigial organs,layer organs,bypass organs
"At a synapse, what objects are released to carry a nerve impulse from one neuron to the next?",neurotransmitters,electron,photon,hormone,viruses,receptors,microorganisms
All cells have a jellylike substance in which subcellular components are suspended. what is that substance?,cytosol,introduced,nucleoplasm,cell membrane,glycerol,plasma,cortisol
"Skyscrapers and other large structures built on soft ground must be anchored to what, located below the ground surface?",bedrock,concrete,steel beams,foundation piles,ocean floor,groundwater,water table
Ingestion and propulsion are the first two steps in which process that describes how humans process and consume food?,digestion,absorption,defecation,mechanical digestion,absorption,regeneration,respiration
Which fish has a round sucker used to suck the blood of other fish?,lamprey,octopus,shark,tuna,shark,abalone,moray
What type of change is undergone when the physical properties of a substance are changed?,physical,chemical,biological,nuclear,thermal,genetic,atmospheric
"Digestive enzymes are released, or secreted, by the organs of which body system?",digestive system,respiratory system,circulatory system,nervous system,nervous system,urinary system,endocrine system
When water is aerated it can provide a plant's roots with what gas for cellular respiration?,oxygen,helyium,nitrogen,carbon dioxide,nitrogen,carbon,carbon dioxide
Where on a jellyfish is the mouth opening located?,underside,top,front,back,left side,right side,top
Calcium ion is an example of what kind of messenger?,second,the first messenger,the initiating molecule,the propagation molecule,third,fourth,first
Aspirin and ibuprofen reduce pain by inhibiting the synthesis of what?,prostaglandins,blood clotting,histamine releaseallergic reactions,inflammation,triglycerides,lipids,hormones
What unit do astronomers use to describe distances in space?,light years,公mile,parsecs,solar miles,quantum years,light months,gravity years
What is the process by which water moves through semi-permeable membranes from one part of the body to another?,osmosis,atmosphere,photolysis,reabsorption,diffusion,electrolysis,mitosis
What is the phenotypic range of a particular genotype called?,norm of reaction,study of the expression of a particular gene,range of phenotypes observed in a population,variation in the expression of a gene,diversity,natural selection,range of motion
What cells are the basis of nervous tissue?,neurons,blem cells,glial cells,fibroblasts,erythrocytes,lipocytes,osteoclasts
What part of the male reproductive system is involved with the most common disorders?,the testes,the prostate,the epididymis,the penis,the ureter,the penis,the glans
Layers of what create a volcano?,lava,rocks,water,gas,rock,limestone,crust
"In amphibians, reptiles, birds, and mammals, blood flow is directed in two circuits: one through the lungs and back to the heart, which is called what?",pulmonary circulation,systemic circulation,pulmocutaneous circulation,double circulation,systemic circulation,sensory circulation,metabolic circulation
Non-human organisms that mainly consume plants/other primary producers are known as what?,herbivores,omnivores,carnivores,decomposers,amphibians,carnivores,omnivores
"In the microbiology lab, what technique refers to the procedures that are carried out under sterile conditions?",aseptic,sterilization,antiseptic technique,disinfection,personal hygiene,experimental control,ionization
"Matrix is the term for the fluid-filled interior of what structure, where most of the cell’s atp is made?",mitochondria,cytoplasm,nuclei of cells,chloroplasts,nucleus,Golgi apparatus,enzyme
"Chitin, also found in the exoskeleton of insects, gives structural strength to the cell walls of fungi. the cell wall protects the cell from what?",desiccation and predators,water damage,extreme temperatures,competing organisms,fermentation and predators,entrainment and predators,starvation and predators
What is the term for air moving over earth’s surface?,wind,airs,gases,currents,humidity,spin cycle,tidal
Each of what paired organs is enclosed within a cavity surrounded by the pleura?,lungs,liver,heart,stomach,bones,ovaries,heart
What are the best-known extinct vertebrates?,dinosaurs,space invaders,unicorns,dragons,snakes,trees,trilobites
Centrioles help organize the chromosomes before cell division so that each daughter cell has the correct number of what?,chromosomes,mitochondria,ribosomes,plasma membrane,ribosomes,cells,receptors
What development is less risky for the mother?,marsupial,esotherian,monotreme,placental,gastrointestinal,atypical,mutation
What does the term decay in chemistry refer to with regards to atoms?,changes in nuclei,disk,breakdown,decomposition,pressures in nuclei,destruction of nuclei,separation of nuclei
How does increasing the temperature of reactants affect the rate of their reaction?,it increases it,it slows it down,the rate is constant,it has no effect,it patterns it,it is unchanged,it decreases it
What type of eclipse happens when a full moon moves through earth's shadow?,lunar,solar,martian,venusian,cycle,solar,planetary
Dynamite is an example of what type of potential energy?,chemical,3,2,1,carbon,mineral,thermal
All the atoms of a given element have the same number what?,protons and electrons,neutrons,atoms,molecules,neutrons and electrons,cells and electrons,neutrons and protons
What structures located on chromosomes control characteristics of life and are passed from parents to offspring?,genes,maincules,functions,loci,eggs,axons,cells
The lattice energy is usually the most important energy factor in determining the stability of what?,ionic compound,covalent compound,molecular compound,metallic compound,harmonic compound,magnetic compound,saline compound
What kind of organisms helps hold soil in place to slow erosion?,plants,rocks,animals,lijke tape,flowers,bacteria,animals
Water found on the surface of the earth is referred to as what?,surface water,underground water,ocean water,atmospheric water,groundwater,reservoir water,runoff
Which planet is named after the roman goddess of love?,venus,earth,mars,jupiter,Neptune,Mercury,Jupiter
"In astronomy, what are so dense that not even light can escape their gravity?",black holes,nebulae,white dwarfs,neutron stars,black rods,dwarf stars,red holes
What are the simplest organic compounds?,hydrocarbons,fe2o3,na2co3,naoh,proteins,enzymes,carbohydrates
"Animals are classified according to morphological and developmental characteristics, such as a body plan. with the exception of sponges, the animal body plan is symmetrical. this means that their distribution of body parts is balanced along this?",axis,radial,sectorial,segmented,skull,radius,ulna
"Competition that occurs between members of the same species, which improves the species’ adaptations, is called what?",intraspecific competition,interspecific competition,intragenetic competition,intraspecies competition,interspecies competition,commensalism,adaptive behavior
"When we were dealing with electrical effects, it was very useful to speak of an electric field that surrounded what?",electrical charge,magnetic pole,the electric field,the force,liquid charge,stellar charge,sunlight charge
"Plants require air, water, nutrients, and what in order to live and survive?",light,soil,food,warmth,money,gravity,entertainment
"What broad group of animals are the first true tetrapods, vertebrates with four limbs?",amphibians,reptiles,birds,mammals,fish,reptiles,mammals
What is telomere shortening associated with?,aging,always,cancer,infertility,sleeping,reducing,changing
What gas is released when dead organisms and other organic materials decompose?,carbon dioxide,hydroke,oxygen,methane,hydrogen peroxide,carbon monoxide,nitrous oxide
A collapsing nebula leads to what process?,nuclear fusion,planet formation,star explosion,black hole formation,nuclear reaction,destructive fusion,chemical reaction
Lenses that focus light are called what?,converging lenses,focusing lenses,magnifying lenses,enlarging lenses,active lenses,powering lenses,sensing lenses
"Often represented by an arrow, a vector is a measurement that has both size and what?",direction,speed,angle,distance,pressure,location,reason
Enzymes can catalyze up to several million reactions per what?,second,minute,hour,day,minute,hour,day
"Unipolar, bipolar, multipolar, and pseudounipolar are the four basic types of what?",neurons,dna,proteins,receptors,ions,protons,electrons
How many families are known quarks divided into?,three,four,five,two,two,five,four
"The nervous system has two main parts, called the central nervous system and the what?",peripheral nervous system,visceral nervous system,sympathetic nervous system,parasympathetic nervous system,functional nervious system,useful nervous system,obsolete nervous system
What makes up the dense outer layer of bones?,compact bone,spongy bone,cartilage,soft tissue,adipose tissue,ligaments,plasma
"Yeasts, molds, and mushrooms are all different kinds of what?",fungi,algorithms,worms,bacteria,pollen,bacteria,fossil
What is the term for the preserved remains or traces of organisms that lived in the past?,fossils,fineals,pre-histiric records,paleo-remains,corals,bones,detritis
"What process, which is analogous to mitosis, is a series of events that arrange and separate chromosomes and chromatids into daughter cells?",meiosis,mytelosis,bleiosis,karyokinesis,apoptosis,inhibition,digestion
The force of attraction between a positively charged metal ion and the valence electrons it shares with other ions of the metal is called?,metallic bond,ionic bond,covalent bond,metallic lattice,ionic bond,metallic yield,temporal bond
"When a car is brought to a stop by friction on level ground, it loses what?",kinetic energy,energy,potential energy,momentum,residual energy,exhibit energy,mass energy
"What system of the body is responsible for transmitting, processing, and responding to most of the sensory information that is created by various stimuli?",nervous system,skin,muscles,bones,respiratory system,circulatory system,attentive system
"When the earth is between the moon and the sun, what type of moon shows?",a full moon,crescent moon,gibbous moon,new moon,waning moon,half moon,crescent moon
The stored chemical energy of trees and other plants is called what?,biomass energy,bluestone energy,atomic energy,nuclear energy,decomposition energy,biocomposte energy,byproduct energy
What is the star nearest the earth named?,proxima centauri,alpha centauri,sirius,mars,apollinaris centauri,andromeda centauri,alpha centauri
What must be combined with a halogen to give it a positive oxidation number?,oxygen,other halogens,sulfur,nitrogen,nitrogen,calcium,carbon
Surging hormones will cause adolescents to have what?,mood swings,make believe friends,ask permission from parents,unusual dance moves,blackouts,growth spurts,bulging muscles
What is the term for the force that a magnet exerts on certain materials?,magnetic force,electromagnetic force,magnetic attraction,magnetic pull,positive force,gravitational force,potential force
What cells does the skeletal system make?,blood cells,muscle cells,nerve cells,bone cells,Osteoclast,Dendritic cells,brain cells
"When a stream or river slows down, it starts dropping its what?",sediments,rocks,pebbles,sand,fragments,organisms,pollutants
"What process, which is in many ways the opposite of photosynthesis, shows the interdependence of producers and consumers?",cellular respiration,chemosynthesis,fermentation,aerobic respiration,primarily respiration,decomposition,osmosis
Which membranous organelles in a cell sequence enzyme and electron molecules for efficient cellular respiration?,mitochondria,lysosomes,ribosomes,endoplasmic reticulum,glucose,protons,bacterial
What forms when one substances dissolves in another?,a solution,solution,dissolve,mixture,a transition,concentrate,complex
What are thought to have evolved at least 200 million years ago from gymnosperms like gnetae?,flowering plants,amphibians,reptiles,insects,yeasts,cone-bearing plants,deciduous trees
The chemical and/or physical agents that cause mutations are called what?,mutagens,familiar prefix,heredity,germplasm,dioxins,organelles,genes
What is the force that opposes motion between two surfaces that are touching?,friction,gravity,traction,grip,tension,vibration,gravity
"Skeletal, cardiac, and smooth are all types of what?",muscle,tendon,bone,nerve,Nervous,Epithelial,Connective
Traits may also be controlled by multiple alleles or multiple what?,genes,alleles,proteins,environment,chromosomes,lesions,eggs
How many atoms does water contain?,3,4,5,7,4,6,9
What is the only light that people can see?,visible light,radio light,microwave light,x-ray light,spectrum light,infrared light,UV light
"What is the name of the system that consists of a hierarchy of taxa, from the kingdom to the species?",linnaean system,taxonomic system,classification system,biological classification system,Bohr's law,Mendelian system,zoology
"If the dna from all 46 chromosomes in a human cell nucleus was laid out end to end, it would measure approximately how long?",two meters,10 meters,100 meters,1000 meters,three meters,four meters,one meter
What is a mixture of a solute in a solvent called?,solution,solution,suspension,colloid,link,structure,transition
Silver is an example of a mineral containing only one kind of what?,element,rock,metal,compound,matter,mass,chemical
What particles ancient greeks propose that matter consists of ?,atoms,molecules,particles,components,ions,molecules,ether
Repolarization occurs when the membrane potential begins to move back toward its resting what?,voltage,teeth,water,gills,charge,resistance,tension
Mollusks have a true coelom and a complete what?,digestive system,agreeasc,comvertibrate,acomplete-o-system,skeletal system,nerve system,tissues system
"Which organelles, made of protein and ribosomal rna, build cellular proteins in the cytoplasm?",ribosomes,endoplasmic reticulum,mitochondria,chloroplasts,chloroplasts,dna,chromosomes
What type of matter makes up most of the universe?,plasma,ices,liquids,gels,carbon,liquid,gas
"Most mammals are viviparous, which refers to what reproductive result?",live birth,laying eggs,hatching from eggs,fertilization,identical twins,spawning,laying eggs
Proteins are polymers of what kind of acids?,amino,carbohydrates,nucleic acids,lipids,lipids,lactic,acetic
What is the official name for the study of life?,biology,ãservice desk,study of life on earth,living organisms,chemistry,geology,botany
"What does an invertebrate, like a snail, not have?",backbone,legs,wings,shell,reproductive organs,eyes,a heart
What is the dinosaur genus that's closest to modern birds?,deinonychus,thyreophora,ankylosaurus,ceratosaurus,sauropods,diplodocus,Rapter
In what type of organisms are daughter cells individuals?,unicellular organisms,multi-celled organisms,nucleated cells,eukaryotic cells,multicellular organisms,macroscopic organisms,hematopoietic organisms
"What group was long considered part of the plant kingdom because of obvious similarities; both are immobile, have cell walls, and grow in soil?",fungi,animals,bacteria,protists,mosses,coral,bacteria
What type of waves transmit the energy of an earthquake?,seismic waves,radio waves,sound waves,light waves,tectonic waves,sonic waves,volcanic waves
"In our bodies, the chest cavity is a clear example of a system at what?",resonance,system at equilibrium,system at top dead center,system at maximum amplitude,rest,scale,default
How do prokaryotic cells divide?,binary fission,budding,mitosis,meiosis,Fusion,function fission,multiple fission
"Exemplified by sea stars and sand dollars, echinoderms have a calcareous structure developed by pigment cells and made of ossicles, which is called what?",endoskeleton,skin,ossicles,pigment cells,hydrostatic skeleton,exoskeleton,thorax
What phase does the nuclear envelope begin to break down?,prophase i,metaphase,anaphase,telophase,nitrogenase i,pasiphaë i,interphase
What are formed when cells from the male and female parts of the plant combine?,seeds,berries,flowers,pollen,varieties,trees,atoms.
What is released to lubricate the vagina to facilitate intercourse?,vaginal secretions,blood,semen,muscles,urine,blood,semen
"Cnidarians are an example of organisms that possess a simple type of what system, used for sensing touch?",nervous system,skeletal system,circulatory system,exoskeleton,circulatory system,lymphatic system,bacterial system
What can we learn about a wave by finding the product of the wavelength and frequency?,speed,color of the wave,the amplitude of the wave,the direction of the wave,decibels,volume,type
What does a continuous string of earthquakes indicate about a volcano?,eruption is close,hibernation,cooling off,durable structure,extinction is close,it is cooling down,it is heating up
"What term is used to describe  the variety of life and its processes, including the variety of living organisms, the genetic differences among them, and the communities and ecosystems in which they occur?",biodiversity,eclipse,planetary,kingdoms,biosphere,habitat,evolution
What kind of a disorder is tay-sachs disease?,inherited disorder,blood disorder,autoimmune disorder,infectious disease,vitamin difficiency,a type of cancer,accumulated disease
"A rock that contains important minerals is called what, a term associated with mining?",ore,gemstone,vein,mine,jewel,coal,gem
Convection is the heat transfer by the macroscopic movement of a what?,fluid,matter,energy,vapor,gravity,gases,tissue
Hypersection by an endocrine gland is often caused by what?,tumor,infection,allergies,heredity,calcium,inflammation,viruses
What gland secretes growth hormones?,pituitary,thyroid,sex hormones,calcitriol,pineal,adrenal,thyroid
The amniotic egg is a shared ancestral character for which clade?,amniota,chordata,arthropoda,mollusca,trichina,xerophyte,avian
Lyme disease is caused by what kind of organim?,bacteria,virus,fungus,parasite,Virus,bacterium,algae
What is the side to side movement of the mandible called?,excursion,rinclusion,gloil,jlotment,twitching,cycling,shifting
A moraine is sediment deposited by what?,glacier,river,wind,ocean,human-caused scarring,river erosion,wind
The development of the respiratory system in the fetus begins at about?,4 weeks,8 weeks,12 weeks,16 weeks,2 weeks,4 months,4 days
What are plants that grow on other plants called?,epiphytes,parasites,soil-dwellers,air-plants,fungi,parasites,bryophytes
An object attached to a spring sliding on a frictionless surface is an uncomplicated type of what device?,simple harmonic oscillator,a car on a smooth road,a swing set,a pendulum,wheel and axle,pendulum,atomic watch
What controls all five senses?,nervous system,muscles,bones,brain,circulatory system,skin cells,endocrine system
Where in the target cells are intracellular receptor proteins found?,cytoplasm or nucleus,plasma membrane,mitochondria,endoplasmic reticulum,mucus or nucleus,membrane or mitochondria,ribosomes or nucleus
"The components of a mixture keep their own identity when they combine, so they retain what type of properties, such as boiling point and ability to dissolve?",physical,chemical,biological,magnetic,thermal,internal,thermal
"A thermite reaction is thermodynamically spontaneous, and because it is associated with a significant release of heat, it is regarded as what?",exothermic,endothermic,spontaneous combustion,pyrogenic,biochemical,endotropic,endothermic
Ecological succession refers to the change in the numbers and types of species that live in what groups?,communities,ennes,ecosystems,populations,movements,colonies,biomes
